,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,WHITE_ELO,BLACK_ELO,WINNER
22,-5,0,-5,0,0,0,-1000000,-3,0,0,0,-3,0,-1,0,-1,0,-1,0,-9,0,0,-1,1,-1,0,-3,0,0,0,3,0,1,0,3,-1,-1,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,5,0,5,0,1000000,0,1044,1611,1
23,0,0,0,0,-5,0,0,0,0,0,0,0,0,-1,-1000000,0,-1,-5,-1,5,0,-3,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,0,3,1,0,-9,0,0,0,1,1,1000000,0,0,0,0,0,0,0,0,0,2429,801,-1
24,0,-5,-3,0,0,0,0,-5,0,-1,0,0,0,0,-1000000,-1,0,0,0,0,-1,0,-1,0,-1,0,0,0,3,-1,0,0,0,0,0,5,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-3,0,3,1000000,0,0,0,0,0,0,0,0,0,0,2305,1991,-1
25,-5,0,0,0,-1000000,-3,0,-5,-1,-1,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,0,0,-1,-1,-3,0,-3,1,0,0,1,0,0,-1,3,0,0,0,0,1,0,0,0,0,0,0,3,3,1,1,1,0,0,5,0,1000000,0,3,5,1820,2417,1
26,0,-5,0,0,0,0,-1000000,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,3,3,-3,-1,0,0,0,0,1,1,0,0,0,-1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,1000000,0,1137,1403,1
27,0,0,-1000000,0,0,0,0,-5,0,-1,0,0,0,0,0,5,0,3,-1,0,0,0,0,0,0,0,0,-5,0,0,-1,-1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1000000,0,0,0,0,0,0,5,0,0,1405,1993,1
28,0,-5,-5,0,0,0,0,0,0,-1,0,0,0,-1,0,-1000000,-1,0,0,1,0,-3,-1,-3,0,0,0,0,-1,0,0,-1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,9,0,0,1000000,0,0,0,0,0,0,5,0,0,1678,2116,1
29,-5,0,0,0,0,-5,-1000000,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,3,3,0,0,-1,1,-3,3,1,0,0,0,1,0,0,-3,0,0,0,1,0,0,0,0,0,0,1,0,1000000,0,0,0,0,5,0,0,0,2087,1091,-1
30,0,-5,0,0,-3,-5,0,0,-1,-9,0,0,0,0,-1,-1000000,0,0,0,0,-1,0,0,-1,0,0,-1,0,3,-1,0,0,1,0,0,-1,0,1,0,0,0,0,-3,1,0,0,1,3,-3,3,0,0,9,0,0,1,0,5,3,0,0,5,1000000,0,1283,1454,1
31,-5,0,0,0,-1000000,-3,-5,0,0,-1,0,0,0,-1,-9,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,0,0,0,3,1,0,-1,1,0,-1,3,0,0,0,0,0,0,1,-1,0,1,0,1,0,9,0,1000000,5,0,3,0,0,5,0,0,1474,1934,1
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1000000,0,0,0,0,0,0,0,-3,0,0,0,5,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,690,1240,1
33,0,-5,-3,0,0,-5,-1000000,0,0,0,-9,-3,0,0,0,-1,0,0,-3,0,-1,0,-1,0,-1,0,0,-1,-1,0,3,1,3,-1,0,1,0,0,0,0,0,1,-1,3,0,0,3,0,0,0,0,0,9,1,1,0,0,0,5,0,0,5,1000000,0,1789,1437,-1
34,0,0,-1000000,-5,0,0,0,-5,-1,0,0,-3,0,-1,9,-1,0,-9,-3,0,-1,0,0,0,0,-1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,5,1000000,0,884,219,-1
35,0,-3,3,-3,-3,-5,-1000000,0,0,-1,0,0,0,-1,0,-1,-5,0,0,-1,0,0,-1,0,-1,0,-1,0,-1,3,0,0,0,0,1,0,3,0,0,-9,1,0,0,1,1,9,0,0,0,1,0,0,0,0,0,1,0,5,0,0,3,5,0,1000000,1760,2462,1
36,-5,0,0,0,0,-5,-1000000,0,-1,0,0,-9,-3,-1,-1,0,0,0,0,0,0,-3,0,-1,-3,-1,-1,0,-1,0,0,-3,0,0,0,0,-1,0,1,1,1,0,0,1,0,1,3,0,3,1,1,0,0,3,0,0,5,0,3,9,1000000,0,0,5,678,339,-1
37,0,0,0,-5,0,-5,-1000000,0,-1,-1,-9,0,0,0,-1,0,-3,0,-1,0,-3,0,0,-1,0,0,-3,0,-1,0,0,0,0,1,0,0,1,1,-3,0,1,0,0,0,0,3,0,0,0,0,9,3,0,1,3,1,5,0,0,3,0,5,1000000,0,334,983,1
38,-5,-3,0,0,-1000000,0,0,-5,-1,-1,0,0,-3,-1,0,0,0,-9,-1,0,-3,0,-3,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,-1,1,0,0,0,0,0,0,1,0,1000000,3,5,0,9,3,5,2240,1709,-1
39,0,-5,0,0,0,0,0,0,5,0,0,-3,0,-5,-3,-1000000,0,0,0,-1,-9,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,1,-1,1,0,1,3,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,1000000,0,0,9,0,0,0,5,0,1064,2398,1
40,0,0,-1000000,0,-5,0,0,0,-9,-1,-1,0,0,3,-1,-1,0,-3,-3,-1,0,-3,0,0,0,0,0,0,-1,0,0,0,-1,1,3,0,1,0,-3,0,3,0,1,0,0,0,9,0,1,0,0,1,0,0,1,1,5,3,0,0,1000000,5,0,0,2089,2232,1
41,0,-5,0,0,0,0,-5,0,0,0,-9,-1,0,0,0,0,-1,0,0,-3,-1,1,-1,-1000000,0,0,-1,1,0,0,5,0,0,0,0,-3,0,0,0,1,1,0,0,0,0,3,0,1,0,1,9,0,0,1,3,0,0,5,0,0,0,0,0,1000000,1983,1678,-1
42,0,0,0,0,0,0,0,0,0,0,0,0,-5,0,-1000000,0,0,-1,0,-5,0,0,0,0,0,1,-3,0,0,-1,0,0,-1,5,1,-1,0,1,-3,0,1,0,0,1,0,0,1,-1,0,0,0,5,1,0,0,1,0,0,0,0,0,1000000,0,0,2209,526,-1
