,FEN_BEFORE_MOVE,MOVE_MADE,TURN,WHITE_ELO,BLACK_ELO,WINNER
3014,r2qk2r/pp1b1pbp/2n1pnp1/2pp4/2P5/2NPPNP1/PP3PBP/1RBQK2R w Kkq - 3 11,a2a3,WHITE,728,2375,1
3015,rq2kb1r/1p1n1pp1/2p1p1bp/5nP1/N1PP3P/p4P2/3B4/R2QKB1R w KQkq - 1 21,d2f4,WHITE,1025,315,-1
3016,2qbn1rk/1r3p2/2npb3/p1p1p1pN/P3P2p/1pPP1P1P/1P1NQBP1/RB3RK1 w - - 2 34,f2e3,WHITE,2319,1877,-1
3017,4rk2/p1rbn1pp/1p1b1p2/3p1p2/P2P4/1B1N2P1/3Q1P1P/R5K1 w - - 4 37,d2b2,WHITE,1585,2042,1
3018,1r1q1rk1/5ppp/p4n2/nB3Q2/Pbp5/1bN1PN2/1B1P1PPP/2R2RK1 w - - 0 21,b5a6,WHITE,409,1371,1
3019,2kr1b1r/1pqb2p1/p1n4p/3B4/2Pp1pP1/1P5P/PBNP1P2/RQ2K2R w KQ - 0 20,c2d4,WHITE,899,2041,1
3020,2rb2k1/1bq2p1r/1p1npnp1/p2pN2p/P1pP1P1P/2P1P1N1/1PBBQ1P1/R4RK1 b - - 12 43,d8e7,BLACK,1943,2044,1
3021,r1b2n1r/p4k2/p1p1n2p/Q1P2qpN/8/4P1P1/P4P1P/1R2R1K1 b - - 1 26,f8g6,BLACK,1066,428,-1
3022,r4rk1/4n1bp/p1n1P1p1/3p2B1/p2P4/3B1q1P/1P2RPP1/2RQ2K1 b - - 1 35,f3h5,BLACK,1768,1646,-1
3023,r1bqk1nr/pppp1ppp/2B5/2b1p2Q/4P3/8/PPPP1PPP/RNB1K1NR b KQkq - 0 4,d8f6,BLACK,1832,295,-1
3024,1r1q1rk1/p3n1pp/b1n5/2p1P2Q/1P3pN1/3p1NP1/1P1P1PBP/R1B1K2R b KQ - 0 20,c6b4,BLACK,1159,1335,1
3025,1k6/2P4p/6p1/1P6/p5nP/3r4/8/2K2R2 b - - 0 46,b8c7,BLACK,1263,1128,-1
3026,2b5/r1k1n3/2P2b1p/p2rp2P/p4p2/2RB1N2/5PP1/1R4K1 w - - 8 41,d3e2,WHITE,2180,1007,-1
3027,3k1n2/1b2b1p1/p1n1pr2/1p1p3p/1P1P3P/P2B1NQ1/4KP2/2R5 w - - 3 30,e2e3,WHITE,1911,2112,1
3028,3r2k1/4q1p1/4p2p/2b1n3/Q2pP3/2P3P1/PP2P2P/1R2KN1B w - - 0 26,b2b4,WHITE,737,723,-1
3029,r4r2/p1n4k/1pp2q1p/2Pp2p1/PP1PpP2/3P3B/1B1QN2P/1R3RK1 b - - 0 25,f8g8,BLACK,2156,2170,1
3030,r2qk2r/1pp2p2/5n2/1p1pP1b1/6bp/P1N1PQ2/1PP2PPP/R3K1NR w KQkq - 0 15,f3f6,WHITE,1938,893,-1
3031,1k1r1b1r/ppp2p1p/8/1P1n3q/P1N1p1n1/BQP3P1/3PPP1P/R3KR2 w Q - 3 20,h2h3,WHITE,2163,1613,-1
3032,B4r1k/3b3p/pp1q1pp1/2p5/P3P1P1/7P/2P1N3/4R1K1 b - - 0 30,h8g7,BLACK,901,471,-1
3033,2rqk2r/p2nbppp/3n4/1Pp2b2/P2p1N2/1P4P1/1BQPPPBP/2R2RK1 w k - 3 20,d2d3,WHITE,1058,1449,1
3034,r1q2k1r/p3pp2/2B2bp1/5bnp/QPP5/2NpR3/P2P1P2/R1B3K1 b - - 0 21,a8b8,BLACK,1190,651,-1
3035,1b2r1k1/pp3qp1/n1p1rp2/2Pp1N1p/1P2nP2/P1N1P1P1/1B5P/3QRRK1 b - - 1 41,b8c7,BLACK,2019,1739,-1
3036,8/8/4n1kN/8/5rnP/r7/6K1/8 w - - 0 50,h6g8,WHITE,1414,1348,-1
3037,3Q4/4bk2/2p5/3pPb2/Pp1P1p2/1N3P2/KPq5/5B2 w - - 1 70,e5e6,WHITE,2116,1514,-1
3038,2r1qrk1/1pn2p2/1bp2Np1/p3P1Bp/2B5/1P1P2P1/P1P3RP/3N1K2 b - - 6 25,g8h8,BLACK,1223,1508,1
3039,r1b1k1nr/1p3pbp/p3p3/3pn3/7q/4B2N/PPP1NPP1/R2QKB1R w KQkq - 4 13,e2f4,WHITE,1795,2240,1
3040,8/4r3/1pp1kpR1/p5p1/6P1/6K1/PP6/8 b - - 3 32,e7d7,BLACK,1326,245,-1
3041,2k1r1n1/pp1qb1p1/n1p4r/P2p1p1p/3P1P1P/1Q1Pp1PB/NP2P3/2R1BRK1 w - - 7 25,a2c3,WHITE,1393,1453,1
3042,2k4r/pp2pp2/4rbpp/1Pp5/P1n1BPP1/2qP1N1R/5P2/2BQ1K2 w - - 1 24,e4d5,WHITE,1505,2371,1
3043,1r1k1br1/qb3p1p/4p1pP/p1p1P1P1/NNP2P2/1Q1P2R1/1P3B2/1K1R1B2 b - - 1 40,d8c7,BLACK,220,1552,1
3044,1r4k1/p1qrppbp/R3b1p1/8/2pP4/2P1B2P/1P2BPP1/Q3R1K1 b - - 8 24,b8b6,BLACK,780,1198,1
3045,4r1k1/3q2pQ/p1p1rpP1/Np1p2P1/nP1Pp3/P3P3/2P1NP1b/B1KR3R b - - 2 28,g8f8,BLACK,1804,2187,1
3046,3r1r1k/1pp3q1/p5pp/2P1p3/1P1nN1N1/P2P1pP1/6BP/R1Q1R2K w - - 0 32,g2f3,WHITE,1980,2426,1
3047,3r1k2/p4p2/1p5r/1P4p1/1P6/2B2P2/4n2P/4R1K1 w - - 2 40,e1e2,WHITE,2190,253,-1
3048,7k/5p1p/1p2p1pP/p2p4/qP3P1P/2bQPBK1/2r1N3/7R w - - 0 38,e2c3,WHITE,806,1150,1
3049,2qr4/2n1pp1k/2P1b1p1/1p2P2p/p6P/B1b2BP1/P3QP2/1R1R2K1 b - - 2 33,e6c4,BLACK,555,827,1
3050,2bk4/r5b1/2BPprp1/2p1Np1p/2P4P/PR2P3/K5P1/8 w - - 8 44,g2g3,WHITE,2078,841,-1
3051,r2r4/5Q2/pk3p2/2p5/1p1N4/1P2P1bB/R2P1P2/1N3K2 w - - 1 29,f7e6,WHITE,470,871,1
3052,8/3kn1Rb/4N3/8/8/8/5r1K/8 w - - 2 63,h2g1,WHITE,333,1367,1
3053,1k2r2r/2b2p2/p1p1q3/Pp3p1p/1P1p1PbP/3BPRP1/N1P4K/3R1Q2 w - - 0 34,c2c4,WHITE,1159,1570,1
3054,8/p4pk1/r3p3/4P2p/4P3/8/2pbNK2/7R w - - 0 51,h1h5,WHITE,2070,1071,-1
3055,8/6k1/1Pb1p3/7Q/5q1p/P7/2KN4/8 w - - 20 105,c2c1,WHITE,1234,1711,1
3056,6rk/2pbr1q1/1p1p1b1p/3P1p1n/1BP1pP1P/PP1nN1P1/R2Q1PB1/1R4K1 w - - 16 32,d2d1,WHITE,2225,1536,-1
3057,r3kb1Q/3n1p1p/b2Pp3/1p1n2B1/8/1PN5/PP2BPPP/2K4R b q - 4 22,a6b7,BLACK,1176,1249,1
3058,r2qkb1r/pp3pp1/2n1p2p/1BPp4/3P4/PNQ5/2PB1PPN/R3R1K1 w kq - 0 21,e1e6,WHITE,608,2489,1
3059,3R3R/4p3/p1b1r1kb/4Pp2/P1N1n1pP/1P6/2P5/4BK2 w - - 0 48,d8c8,WHITE,656,797,1
3060,2rqb1k1/5pp1/5b1p/2P2P2/p2PP3/5NP1/5K1P/1R1Q4 w - - 2 38,e4e5,WHITE,1446,591,-1
3061,1r3rk1/3b1pp1/p2b4/Q1pn3p/P4P2/3P2P1/1P2R2P/5R1K b - - 3 29,d5b4,BLACK,823,1279,1
3062,8/p1r3rk/1p5p/1P2Npb1/2pPqNp1/P3P3/4R1PP/2Q2RK1 b - - 6 35,c4c3,BLACK,434,1652,1
3063,r1k3B1/8/p1n2Bp1/1p5r/4PNp1/1Q5p/P6P/1K1R1R2 b - - 3 38,c8b8,BLACK,204,568,1
3064,1r3r1k/p3NRb1/7p/2n1p3/2pn2PP/P7/1P2P1B1/2BQ1R1K b - - 0 41,h8h7,BLACK,1434,1565,1
3065,r3kb1r/1p2n3/2n4p/qp1pP1p1/3P1pP1/1PNQB3/7P/2R1KR2 w kq - 0 23,b3b4,WHITE,1324,1505,1
3066,r4r1k/1p1qb1pp/2p1pn2/P1PpB2b/1p1N1P1P/1N1B4/2Q3P1/2R1R1K1 w - - 9 26,f4f5,WHITE,304,1313,1
3067,8/8/p3pk2/1p1r4/1Pp3KP/P7/2R5/8 w - - 1 49,c2h2,WHITE,1258,264,-1
3068,1kbrr3/1ppq1pp1/pb3n1p/n2P4/P1BPp3/BPN1Q2P/2PN1PP1/R3R1K1 w - - 2 24,a1b1,WHITE,2214,1881,-1
3069,r1bqr1k1/1p1n1pn1/3Ppbp1/2p1B2p/p2PQ1P1/P1PB1N2/1P1N1P1P/2KR3R b - - 1 17,h5g4,BLACK,1807,2390,1
3070,2r3k1/n4r2/4pp2/3p2P1/3P1P1p/3NP2P/8/5RK1 w - - 1 35,g5g6,WHITE,1787,1434,-1
3071,1r2kn2/pNb3p1/P1p5/3qpP2/3pQ3/3B2P1/1PP4R/R1B3K1 b - - 0 31,f8d7,BLACK,396,1435,1
3072,r3k1r1/1p3p1p/2p5/p5pn/N1P1P1b1/6P1/P2QPqNP/2KR1B1R w q - 2 20,g2e1,WHITE,588,1484,1
3073,2b5/R2N1kp1/4p2p/1p2nn1P/8/2R3p1/3p1P1N/6K1 b - - 0 39,d2d1q,BLACK,1524,689,-1
3074,3qrbk1/1r3pp1/1N2b2p/3p4/8/4PN2/2Q2PPP/BBR1R1K1 b - - 2 27,f7f5,BLACK,554,1533,1
3075,r3rbk1/1q3pp1/5n1p/N4b2/PnN1P3/2QPB1PP/1P3P2/R3KB1R b KQ - 0 21,b7d7,BLACK,1129,380,-1
3076,4rrk1/2q5/2n1b2p/pp1p1p1P/2pP2p1/2P1PNP1/PP1N2B1/2RQ1RK1 w - - 0 26,f3h4,WHITE,456,782,1
3077,rqr3k1/3nb1p1/b3p1p1/p1ppPpP1/Pp1P1P2/4Q2N/NPP2B1P/R2KR3 w - - 2 27,b2b3,WHITE,1698,450,-1
3078,2r2rk1/pp1b2p1/4p1Np/q2pPp2/P1nP4/4BK2/6P1/RQ3N1R b - - 1 25,a5d8,BLACK,1020,1254,1
3079,r2q1bnk/1p1b2r1/p1n2p1p/2p1pP1B/P1P1P1P1/1P1PBN2/3Q2RP/6RK w - - 4 40,f3h4,WHITE,2288,1549,-1
3080,2q1rr1k/1ppbb1pp/2np4/3Np3/1PP2Pn1/3PBN2/3QPPBP/1RR3K1 b - - 2 21,e7d8,BLACK,983,1129,1
3081,6r1/r2nk1bN/pq1p1pp1/8/2pPP1b1/2P1B3/P1P3PP/R3QRK1 w - - 3 21,h2h3,WHITE,588,688,1
3082,3R1rk1/pb4p1/q6p/3npp2/N1R3n1/1P6/PBPQ3P/2K5 b - - 0 38,f8d8,BLACK,1558,1516,-1
3083,1n4k1/1B1p3p/p3p1p1/1p3r2/1P3bQ1/7P/q1P2PP1/1R2RNK1 w - - 1 29,g4d1,WHITE,975,1198,1
3084,2qrrb1k/1p3b2/p1n2n1p/5P2/P7/2R4P/1P3QP1/1BB2RK1 b - - 2 29,f8g7,BLACK,1207,827,-1
3085,1b2kr2/p2r1p2/1p4p1/2p3N1/2P1qP1p/1P1pP2P/PB1R2P1/4R1K1 b - - 1 32,e4f5,BLACK,718,589,-1
3086,rn2k2r/pqp2pp1/5n1p/8/4pP2/1Pb1P1P1/P1QP3P/R1B1K1NR w KQkq - 0 16,c2c3,WHITE,1976,1576,-1
3087,r1n2rk1/1q2bp1p/1nb1p1pP/pp1pB1P1/2pPP3/P1P2P1B/1PQNN3/2KR3R w - - 4 22,d1g1,WHITE,1638,1757,1
3088,R7/2b1rk2/2P3P1/2Pp1pP1/3Pp3/1PB5/4QP1n/6K1 b - - 0 62,f7g6,BLACK,906,1523,1
3089,1q1B1r1k/3P2bp/1p2p1p1/pPp1pn2/P6N/2P3Pb/3Q3P/4RRKB b - - 0 28,f8d8,BLACK,1616,1991,1
3090,r5bk/4p2p/1p4p1/2p3P1/6P1/3R2K1/8/8 b - - 15 47,a8c8,BLACK,1370,387,-1
3091,1k3r2/pp3Nb1/3Nb1n1/B1p5/7p/q3PQ2/2P2PP1/3K3R b - - 4 27,a3b2,BLACK,621,1470,1
3092,2rr2k1/2q2bp1/5pNp/1p2p2Q/6PP/pNp3R1/P1Bp1P1K/3R4 b - - 1 36,d8d6,BLACK,1114,2264,1
3093,3rr1k1/4qp1p/1pP3p1/p7/5PRb/P1PRPN2/3Q1P1P/1N2K3 b - - 0 29,h7h5,BLACK,1349,967,-1
3094,4kb1r/r2n1ppp/p2p3q/1ppPp3/4N2P/P2P2P1/1PP2P2/R2QKB1R w KQk - 1 15,g3g4,WHITE,1998,954,-1
3095,rnbqkb1r/pp3pp1/5n1p/2ppp3/2P5/P1NP1NP1/1P2PP1P/R1BQKB1R b KQkq - 1 6,d5c4,BLACK,2185,1044,-1
3096,rb5r/1p5q/2b2kp1/p1p1ppn1/P1PNPnBp/1P1P3P/1RR4K/3Q2N1 w - - 1 43,b3b4,WHITE,352,1391,1
3097,2b5/2P2p1k/8/5NpP/p2R2P1/P4q2/7K/8 w - - 0 69,h2g1,WHITE,2001,1845,-1
3098,2krqb2/1pn1pp2/2p3p1/2NpPnB1/p2P2R1/P2P1P2/1P5Q/R3K1N1 b Q - 3 27,f7f6,BLACK,1962,1753,-1
3099,r4bk1/1p5r/p3bP1p/3p3P/1PP4B/P2Q1P2/5P2/1N5K w - - 3 34,b1c3,WHITE,338,557,1
3100,2kr1qr1/ppp1n2p/1b1p1p2/3Pp2P/P1P5/1N3Q2/1P3R1P/R4K2 b - - 0 24,c8b8,BLACK,2010,1819,-1
3101,2r1q1k1/2p3p1/2br4/pp2p2p/Pn2B2P/1P1PPNP1/RB1Q4/4RNK1 w - - 3 34,e4c6,WHITE,1187,1896,1
3102,rnb3k1/ppp3p1/1b1p2q1/P2Ppr1N/1P1P1p2/2P2B1P/5P1K/R1BQ1R2 b - - 3 19,g6h6,BLACK,797,1698,1
3103,2r3k1/2q2p2/4p1p1/rB1p3p/P2N4/1n2P1PP/2Pb1P2/6KR w - - 0 27,d4b3,WHITE,1208,856,-1
3104,7k/6p1/7p/p6P/1p1P4/1P6/P4K1r/8 w - - 1 65,f2g1,WHITE,1430,712,-1
3105,4r1k1/pb1n1p2/1p1Bp1p1/2p4p/2P1p3/PP1PP1P1/3Q1PBP/5RK1 b - - 0 27,d7f6,BLACK,1022,1038,1
3106,1k6/1P6/5np1/4pp2/4P3/1P3B1p/5P2/3R2K1 w - - 1 71,e4f5,WHITE,756,1254,1
3107,r1b2rk1/pp2n2p/nqp4P/3pbp2/2P1pNp1/P2PP1N1/1P1B1PP1/R2QKB1R w KQ - 4 16,b2b4,WHITE,1264,2326,1
3108,8/8/8/3nk1pR/6P1/5P2/1r2n3/6K1 w - - 5 49,g1f1,WHITE,2037,223,-1
3109,r5k1/q1R5/7p/pp1br1p1/4p1P1/PP2P2P/3N1QB1/4KR2 w - - 1 30,c7c3,WHITE,1164,1597,1
3110,r1b2r2/1p4kp/5p2/p5p1/3Q2P1/PP2P2P/1P2P1B1/2K2R2 b - - 0 28,f8f7,BLACK,751,1901,1
3111,r2r2k1/1pb2p2/4q1p1/2pR4/N1N4p/3QP1PP/P4PBK/2R5 b - - 0 32,h4g3,BLACK,1332,1334,1
3112,rnb1k2r/ppb2ppp/2p1pq2/3p4/1BPPn3/P3PN2/1PQ1BPPP/RN2K2R b KQkq - 2 9,a7a5,BLACK,1871,2084,1
3113,8/3p4/2p2N2/4p1p1/1P1rPk1p/1KN4P/2P5/4R1R1 b - - 1 51,d4d2,BLACK,1049,1509,1
3114,1r1q1rk1/p2bpp1p/3p1npQ/1Pp4P/P5P1/5N1B/5P2/1R3K1R w - - 4 23,b1e1,WHITE,1788,1584,-1
3115,rnb2k1r/2pq1p2/3p2pp/1pPPp1B1/p6Q/P4N2/1PP1BPPP/R3K2R b KQ - 1 17,d6c5,BLACK,1084,1310,1
3116,r7/6k1/4qN1p/pp1pPp1P/1n1P4/2R1P1B1/2PQR1K1/8 b - - 4 44,e6e7,BLACK,2033,2175,1
3117,1B6/3qbppk/pQn3bp/4p3/2P1P1P1/3n1P2/8/R2R2K1 w - - 1 33,b8d6,WHITE,705,671,-1
3118,2rr2k1/pp1qppbp/4b1p1/P1pnP3/2P2BP1/3P1B1P/1P3P2/2RQR1K1 w - - 0 24,f4g3,WHITE,1644,1835,1
3119,N3k2r/1p2bppp/p1r1pn2/1q6/1Bp5/PnQ1PB1P/1P3PP1/3R1RK1 b k - 19 25,c6c8,BLACK,1516,1962,1
3120,1rq1kb1r/2p1np2/4p1pp/1n1pP2P/1pbP2P1/pP1N3R/P1P2P1N/1KBRQB2 w k - 2 25,h5g6,WHITE,2248,1693,-1
3121,r3k2r/1bPqbpp1/p3pnn1/1p1p4/P2P3B/1QN1P3/5PPP/RN2KB1R b KQkq - 0 19,h8h4,BLACK,433,1543,1
3122,5rk1/pppq4/1b3p2/3p2pp/1P1BN3/1QP3Pb/P4P1P/4R1K1 b - - 2 22,g8g7,BLACK,1137,1272,1
3123,3q1rk1/4b1p1/p1n4p/1pp4Q/4p3/4N1PP/PPPr1PB1/R4RK1 w - - 2 26,h5g6,WHITE,1944,1653,-1
3124,r1b3n1/p2p2kr/1pn1p1Np/4P2q/P4BP1/2PQ4/5P1P/3R1RK1 w - - 0 21,g4h5,WHITE,488,1096,1
3125,8/1Bbk1p2/3rp3/P4q2/P1PP4/2K1P1n1/6R1/1R6 b - - 2 48,f5b1,BLACK,2163,412,-1
3126,r3k2r/npqb1p1p/pP2p1p1/n2pP3/2pP1P2/b1P3N1/P1B2QPP/1RB2R1K w kq - 0 21,c1a3,WHITE,2201,2404,1
3127,2r1r1k1/1p1q3b/p3pp1p/n1P3pP/3P1nPb/B1P2B2/P2Q1P2/2RRN1K1 b - - 0 28,a5c4,BLACK,2327,1863,-1
3128,2rr4/3npkbp/2q3p1/p4pP1/1p1Pb2P/1Pp1PN2/P3QPBB/2RR2K1 b - - 3 27,c6d5,BLACK,2070,2094,1
3129,r2qr1k1/pQpnbppp/5n2/3P1b2/3Pp3/2N3P1/PP1NPPBP/R1B1K2R b KQ - 2 11,e4e3,BLACK,1989,1235,-1
3130,rnq4k/pb4p1/1p6/3n1r1p/P2Q3K/1P1RP1P1/7P/8 b - - 3 32,a7a6,BLACK,1113,952,-1
3131,r4rk1/3b2p1/2nNpbqp/1RBpn2B/2p5/P1P5/2N2PPP/3Q1RK1 b - - 13 30,g6g5,BLACK,1723,2164,1
3132,5q1k/1b6/pPp1R2p/7P/6p1/3B4/5PPK/8 w - - 2 47,h2g1,WHITE,940,865,-1
3133,r2qk3/2pnb1p1/4b3/1P1Np1P1/1P2P1nr/B2pPB1p/1Q1P3P/1R3RK1 w q - 3 30,b1a1,WHITE,1535,1959,1
3134,r1bq1rk1/3pbppp/1p2p3/2n5/1pPRn3/4PN2/1B2BPPP/1N1Q1RK1 w - - 2 17,b1d2,WHITE,1240,979,-1
3135,1r2r1k1/1bq1npb1/3pp2p/pp5P/2pPPBn1/P1P3NN/1P1Q1PP1/1BR1R1K1 w - - 7 30,d2d1,WHITE,2157,2229,1
3136,6Q1/8/8/1p2p1kp/5pp1/3P1nPP/5P2/7K b - - 1 56,g5h6,BLACK,2097,2137,1
3137,r3k2r/1b2qppp/pb5n/1p1pP3/1p1p1Q2/1N1B1N1P/P1P1RPP1/1K1R4 b - - 7 24,a8c8,BLACK,1565,1954,1
3138,5k2/8/8/8/7r/7p/7K/6R1 w - - 6 82,g1c1,WHITE,327,1454,1
3139,r1bq1r1k/p2n2pB/2p3Qp/2Pp3P/Np1P1p1b/4Pp2/PP1B1P1P/2KR2R1 b - - 5 22,d8e7,BLACK,2035,2485,1
3140,1n3rk1/r3pp2/1p4p1/p1Pq1b1p/4P3/QPb2P2/P4RPP/2R1N2K b - - 0 26,d5d4,BLACK,2481,2427,-1
3141,r2qn1k1/ppp1b1pN/3pb3/4p2Q/3nP2P/2NP4/PPP2rP1/R1BK3R w - - 0 14,c1e3,WHITE,592,1771,1
3142,8/B4k2/5b2/5p2/5N2/np1K2p1/8/6R1 b - - 5 47,a3b5,BLACK,1501,310,-1
3143,r4r1k/q7/2ppb2p/1p2p1pB/p1PbP1N1/P2PNPPn/1PR4P/3Q1R1K w - - 6 45,e3f5,WHITE,1789,1718,-1
3144,r3kb1r/pbq2ppp/1pn1p1n1/2ppP3/1P4P1/2PP1N1P/P1N1QPB1/R1B2RK1 b kq - 0 15,f8e7,BLACK,652,1467,1
3145,1q1rkr2/p3n3/3p2p1/4p1Bp/NnP1P1bP/pPNP4/5PP1/RQ3RK1 b - - 5 26,e7c6,BLACK,1568,2039,1
3146,1rr2b1k/1p1qp3/1np1n1Pp/p2pPp2/P2PbP2/1PN1BNP1/2PQBK2/R6R b - - 2 31,b6a8,BLACK,1082,1509,1
3147,3r2k1/4p2p/p3q3/2p4n/4B3/2P2Pnp/2PB1R1K/4Q3 b - - 1 34,g8h8,BLACK,1330,1164,-1
3148,r1bqk2r/p2nppb1/2p4p/1pN3pn/1PpP4/4PNB1/P3BPPP/2RQ1RK1 b kq - 1 17,h5g3,BLACK,1165,1551,1
3149,2qQr2k/2P2p2/p3r2p/B2Bn3/6pP/b5P1/5P2/3R1K2 b - - 1 43,e6d6,BLACK,1539,1431,-1
3150,8/6pk/3b3p/8/p3p1P1/3PB2P/1q2PN2/5K2 b - - 1 41,h7g6,BLACK,1162,1077,-1
3151,r4nk1/1p3pbp/p2Bb1p1/P2NN1q1/3P2P1/1Q2PP2/1P2K3/2R5 b - - 2 35,a8e8,BLACK,1765,2237,1
3152,r1b1r1k1/pp2ppb1/1qn3p1/4P2p/2p1Q1n1/2N2NPB/PP3P1P/R1B2RK1 w - - 4 14,e5e6,WHITE,1040,643,-1
3153,r1bqk1nr/pp1nppb1/6pp/2p5/2N4P/1Q4P1/PP1PPPB1/R1B1K1NR w KQkq - 3 8,d2d3,WHITE,677,2175,1
3154,4r1k1/5pp1/7p/pN3P2/PP1P4/6P1/R5KP/3q4 b - - 0 44,a5b4,BLACK,1757,862,-1
3155,2r5/2rnkpbp/R5p1/8/bPpNB3/P1n1P1N1/2PK1PPP/7R b - - 3 27,d7f6,BLACK,307,684,1
3156,3b4/3B4/6kp/pr3p2/6pP/2BbP1P1/1P3P2/2R1R1K1 w - - 0 34,c3h8,WHITE,921,1620,1
3157,r3q1k1/2n3bp/ppN1p1p1/1P1pP3/P1p2P2/6P1/4B1KP/1RB2R2 w - - 1 28,c1e3,WHITE,629,1472,1
3158,r5k1/2q1ppb1/2p3p1/1p1pPbNp/1PnP3P/3N4/4BPP1/2QR2K1 b - - 2 26,a8a2,BLACK,239,409,1
3159,3r3k/p1qr3p/1pn1bp2/2p1p3/2P1N2P/P2P4/1Q2PPB1/2R1RK2 b - - 3 27,f6f5,BLACK,977,471,-1
3160,2r2rk1/7p/p2qb1p1/1pP1p3/nP2Pp2/P5P1/2Q1BP2/R4NK1 w - - 0 31,a1d1,WHITE,2405,328,-1
3161,4rbkr/pb6/1pp2qp1/8/1P1N1NPP/P2PPP2/8/R1BQ1RK1 w - - 0 24,h4h5,WHITE,596,1284,1
3162,r1b1k2r/pp2qpbp/2n2np1/2p1p3/2P1P3/P1N2N2/1PQ1BPPP/1RB1K2R b Kkq - 0 11,c6d4,BLACK,1434,1697,1
3163,r1b1k3/5q2/2pbpp1r/p2p4/3B2Q1/3B2PP/PP3P2/R5K1 w q - 1 28,a2a4,WHITE,1164,719,-1
3164,3r2k1/1p2b2p/p3b3/2pNp1p1/2P1P3/1P1K1PP1/2BQ4/7r w - - 6 30,d2g2,WHITE,1219,1440,1
3165,5k2/1p3p2/5P2/P2b1P2/3N1P2/1pr5/7K/6R1 w - - 2 47,g1b1,WHITE,1215,478,-1
3166,2q1r1k1/r3p1bb/n1p5/1p1npPNQ/p2P2pB/P1P3P1/1P4BP/R4RK1 b - - 1 25,d5f6,BLACK,1909,2275,1
3167,1rq1r1k1/2p2pb1/p2p1np1/1P1Pp1B1/1P6/5NNb/P1Q1BP2/R3R1K1 w - - 1 23,g5f6,WHITE,492,586,1
3168,2N5/6pk/1pB1p1nr/3pN2p/3Pp3/P5P1/1q3P1P/5K1R w - - 9 37,h2h4,WHITE,2350,888,-1
3169,r1b1kb1r/1pq2ppp/p2pp3/2p1P3/2Pn1BP1/2NP1B2/PP2QP1P/2KR3R w kq - 4 15,e2e4,WHITE,364,2442,1
3170,2k3r1/p7/p1p1bQ2/2n1p3/1qP5/1Br1BP2/2P2KPP/R2R4 b - - 2 26,c3e3,BLACK,750,747,-1
3171,r3k2r/1b1n1p2/1q2p2p/p1bpP1PP/2p3P1/PpP1B2N/1P1QN3/R2BK2R w KQkq - 1 24,e2d4,WHITE,1770,1804,1
3172,3q2k1/2b3p1/1pp2n2/p4RQp/P3P2P/1P3P2/8/5K2 w - - 5 61,f1e2,WHITE,1475,1140,-1
3173,5r2/3P1k1q/1pb1p1p1/1p1pB1Pp/P2R3P/1NP2P2/1P4K1/8 w - - 1 36,d4f4,WHITE,1242,681,-1
3174,1r2q1kr/5pp1/2p5/Q1PpPnn1/2bP2Pp/4P1bP/1PBBN1R1/1K6 w - - 0 35,g4f5,WHITE,2429,1439,-1
3175,rn6/1pk2qp1/p1p3Np/3p4/6Q1/NP1B4/1PP2P1P/R1B2RK1 b - - 0 21,c7b6,BLACK,776,1320,1
3176,r1bq1rk1/5pp1/7p/pp1Pp3/1N3n2/4B2P/B1R2PP1/3Q1RK1 w - - 0 24,b4c6,WHITE,1682,2100,1
3177,r3k1r1/4qp2/pN1p3b/Pp1P4/4PP1p/2NQB2b/1PP1BRp1/R4nK1 b q - 4 26,a8d8,BLACK,1604,2181,1
3178,b1r1k2N/6p1/pn2pn1p/qp1p3P/2pP1bP1/P1N1P3/1PP1KPB1/R5QR b - - 0 20,f4d6,BLACK,400,1827,1
3179,r1r3k1/1qB3pp/p4pn1/2Qb4/2pP2P1/P4PK1/1P2R3/3R4 w - - 7 36,e2e7,WHITE,962,1493,1
3180,Q4b2/5pk1/2r2r2/3p1qp1/1p1Pn3/1P2PPPp/1Bb1N2P/R1Q1R1KB w - - 1 38,f3e4,WHITE,746,1677,1
3181,1r1bk2r/1bq2p1p/pNn2npP/1pP5/1P1Pp3/P4N2/1BQ1BPP1/3RK2R w Kk - 0 24,f3e5,WHITE,1599,1953,1
3182,r5k1/p1QR2p1/P1B3p1/1p2p2p/5qP1/2P5/2P5/7K b - - 0 34,f4f1,BLACK,1874,1879,1
3183,8/4bk2/2b1p1p1/1pPrPp2/1q3p2/8/3BQ2P/r3RK2 b - - 3 41,b4d4,BLACK,1086,569,-1
3184,q2r2k1/6bp/4np2/p3pbp1/1pR5/3p1N1P/PB1N1PP1/4QR1K w - - 0 40,e1e3,WHITE,629,1499,1
3185,8/B7/2k5/p3p3/Pp2r3/2p1Np2/2K2P2/8 b - - 1 54,c6b7,BLACK,1245,535,-1
3186,1r1q1rk1/5pb1/2npbnpp/p1pNp3/1pP1P3/PP1P1NPP/3BQPB1/1R3RK1 w - - 0 16,g1h2,WHITE,401,1231,1
3187,5r2/q2bkp2/2n1p2p/1p1pP1pP/1Pp3P1/r1P2N2/2BQRPK1/2R5 w - - 9 46,c1b1,WHITE,2227,1644,-1
3188,r4rk1/pb1p2b1/3Pp1q1/2n3p1/P1P1PPp1/4n1P1/1PQN3P/2R1KB1R b K - 2 28,g6h5,BLACK,1202,651,-1
